ACCOUNT_ID,ACCOUNT_NUMBER,SUBSIDIARY_ID,CLASS_ID,DEPARTMENT_ID,LOCATION_ID,Metric_Mapping
202,620115,,,,438,Direct Operating Expense
178,600105,,,,439,Direct Operating Expense
202,620115,,,,121,Direct Operating Expense
1852,100029,,,,350,Assets
102,200000,,,,499,Liability
102,200000,,,,483,Liability
258,690020,,,,125,Marketing & Advertising
150,410300,,,,114,Sales
1711,480501,,,,350,Sales
1715,210501,,,,567,Liability
102,200000,,,,441,Liability
1729,101804,,,,490,Assets
41,101920,,,,132,Assets
275,700240,,,,115,Corporate G&A
102,200000,,,,67,Liability
102,200000,,,,502,Liability
1201,100010,,,,115,Assets
1861,101997,,,,61,Assets
5,100003,,,,121,Assets
149,410200,,,,636,Sales
153,420200,,,,478,Sales
149,410200,,,,590,Sales
153,420200,,,,507,Sales
107,210500,,,,137,Liability
1711,480501,,,,436,Sales
225,660040,,,,169,Direct Operating Expense
1715,210501,,,,122,Liability
1715,210501,,,,134,Liability
1715,210501,,,,133,Liability
1638,480020,,,,121,Sales
102,200000,,,,124,Liability
227,660060,,,,120,Direct Operating Expense
358,630250,,,,367,Corporate G&A
42,101921,,,,131,Assets
403,220103,,,,141,Liability
41,101920,,,,120,Assets
400,101999,,,,124,Assets
406,101802,,,,131,Assets
277,700280,,,,107,Field G&A
50,120100,,,,66,Assets
50,120100,,,,440,Assets
227,660060,,,,344,Direct Operating Expense
1715,210501,,,,446,Liability
1710,480030,,,,345,Sales
1710,480030,,,,357,Sales
149,410200,,,,127,Sales
149,410200,,,,119,Sales
1710,480030,,,,345,Sales
1710,480030,,,,343,Sales
77,158000,,,,354,Assets
982,460327,,,,122,Sales
200,620105,,,,125,Direct Operating Expense
150,410300,,,,64,Sales
999,101201,,,,450,Assets
1631,140504,,,,345,Assets
152,420100,,,,345,Sales
57,130100,,,,169,Assets
970,460321,,,,66,Sales
1178,210510,,,,440,Liability
1751,100423,,,,348,
1902,100306,,,,348,
1815,100507,,,,66,
1712,480511,,,,61,Sales
1638,480020,,,,64,Sales
102,200000,,,,367,Liability
1826,100028,,,,347,Assets
227,660060,,,,62,Direct Operating Expense
102,200000,,,,345,Liability
1664,100021,,,,440,Assets
102,200000,,,,56,Liability
976,460324,,,,353,Sales
42,101921,,,,109,Assets
976,460324,,,,367,Sales
248,680020,,,,349,Repairs & Maintenance
400,101999,,,,343,Assets
168,480000,,,,435,Sales
1767,100439,,,,356,
41,101920,,,,367,Assets
50,120100,,,,366,Assets
1609,101902,,,,451,Assets
1778,100444,,,,353,
1740,100403,,,,346,
148,410100,,,,446,Sales
148,410100,,,,343,Sales
1710,480030,,,,450,Sales
195,600400,,,,343,Corporate G&A
1903,100307,,,,125,
149,410200,,,,61,Sales
150,410300,,,,58,Sales
1787,100457,,,,141,
200,620105,,,,127,Direct Operating Expense
1711,480501,,,,108,Sales
1711,480501,,,,66,Sales
1714,210430,,,,343,Liability
178,600105,,,,358,Direct Operating Expense
1714,210430,,,,111,Liability
